DefaultSC.UTCGregorian     DefaultSC.Earth.SMA       DefaultSC.Earth.ECC       DefaultSC.EarthMJ2000Eq.INC   DefaultSC.EarthMJ2000Eq.RAAN   DefaultSC.EarthMJ2000Eq.AOP   DefaultSC.Earth.TA        DefaultSC.Earth.MA        
16 Dec 2025 15:23:45.990   6795.547449422512         0.002444194164165103      34.91148199801771             23.99348249051837              207.7035256420929             26.40682668231398         26.28246583025544         
16 Dec 2025 15:23:55.990   6795.478664508832         0.002432596102603232      34.91106771280258             23.99247005326097              207.7185653335883             27.04117950787817         26.91465458406081         
16 Dec 2025 15:24:05.990   6795.410432241361         0.002421142962072485      34.91065680441786             23.99144141376584              207.7278970735632             27.68123412195799         27.5525546075237          
16 Dec 2025 15:24:15.990   6795.342788439045         0.00240984271853582       34.9102494839465              23.9903967148475               207.7316056404106             28.32690538110657         28.19608108314966         
16 Dec 2025 15:24:25.990   6795.275768624389         0.002398703156061736      34.90984596051501             23.98933610768197              207.7297855736306             28.97809837689907         28.84513943076193         
16 Dec 2025 15:24:35.990   6795.209408003964         0.00238773185271733       34.9094464411838              23.98825975172216              207.7225412994018             29.63470831045864         29.49962518196094         
16 Dec 2025 15:24:45.990   6795.143741449049         0.002376936166440367      34.90905113083887             23.98716781460875              207.709987228213              30.2966203949249          30.1594238825246          
16 Dec 2025 15:24:55.990   6795.07880347644          0.00236632322093801       34.90866023208466             23.98606047207673              207.6922478223288             30.96370978809137         30.82441102497511         
16 Dec 2025 15:25:05.990   6795.014628229444         0.002355899891662665      34.9082739451384              23.98493790785774              207.6694576312142             31.63584155708729         31.49445201318852         
16 Dec 2025 15:25:15.990   6794.951249458933         0.002345672791913766      34.90789246772566             23.98380031357757              207.6417612920814             32.31287067793951         32.16940216187928         
16 Dec 2025 15:25:25.990   6794.888700504737         0.002335648259126963      34.90751599497753             23.98264788865027              207.6093134955458             32.99464207002806         32.84910673098024         
16 Dec 2025 15:25:35.990   6794.827014277145         0.002325832341403662      34.9071447193295              23.9814808401677               207.5722789130509             33.68099066877564         33.53340099825158         
16 Dec 2025 15:25:45.990   6794.766223238629         0.002316230784340464      34.90677883042145             23.98029938278502              207.5308320854567             34.37174153717645         34.22211037072744         
16 Dec 2025 15:25:55.990   6794.706359385769         0.002306849018219244      34.90641851499971             23.97910373860221              207.4851572714235             35.0667100175321          34.91505053636741         
16 Dec 2025 15:26:05.990   6794.647454231462         0.002297692145620708      34.90606395682063             23.97789413704195              207.4354482548739             35.76570192411134         35.61202765663032         
16 Dec 2025 15:26:15.990   6794.589538787252         0.002288764929525447      34.90571533655582             23.97667081472277              207.3819081098999             36.46851377836857         36.31283860160166         
16 Dec 2025 15:26:25.990   6794.532643546073         0.002280071781958788      34.90537283169922             23.97543401532971              207.3247489245482             37.17493308528466         37.01727122624556         
16 Dec 2025 15:26:35.990   6794.476798465145         0.002271616753246887      34.90503661647625             23.97418398948047              207.2641914816546             37.88473865266312         37.72510468960699         
