DefaultSC.UTCGregorian     DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   
16 Dec 2025 06:39:55.990   6098.2431436918             3021.590839764975           1.265465250399683           -2.781437303548048           5.619785350617               4.381447460098805            
16 Dec 2025 06:40:05.990   6070.043265025266           3077.596199786836           45.07892635721604           -2.858478706468961           5.581168565458635            4.381152032388483            
16 Dec 2025 06:40:15.990   6041.07478020591            3133.211857522009           88.88665144969606           -2.935156917888035           5.541845717605094            4.380300272473534            
16 Dec 2025 06:40:25.990   6011.341369557657           3188.430777220322           132.6830777799089           -3.011462263846247           5.501821797092591            4.378892306861691            
16 Dec 2025 06:40:35.990   5980.846809907332           3243.24597347131            176.462644215491            -3.08738511792474            5.46110188171876             4.376928332153453            
16 Dec 2025 06:40:45.990   5949.59497410323            3297.650512078578           220.2197919404016           -3.162915902447323           5.41969113639098             4.374408615006085            
16 Dec 2025 06:40:55.990   5917.589830521712           3351.6375109276             263.9489651552727           -3.238045089676295           5.3775948124638              4.371333492088672            
16 Dec 2025 06:41:05.990   5884.835442561864           3405.20014084683            307.6446117772653           -3.312763203001411           5.334818247065563            4.367703370028198            
16 Dec 2025 06:41:15.990   5851.335968128309           3458.331626462026           351.3011841393417           -3.387060818121846           5.291366862414355            4.363518725346717            
16 Dec 2025 06:41:25.990   5817.095659102237           3511.025247043686           394.9131396888649           -3.460928564221002           5.247246165123355            4.358780104389614            
16 Dec 2025 06:41:35.990   5782.118860800712           3563.274337347485           438.4749416854361           -3.534357125133998           5.20246174549572             4.353488123244952            
16 Dec 2025 06:41:45.990   5746.410011424352           3615.072288447598           481.9810598978812           -3.60733724050768            5.157019276809088            4.347643467653969            
16 Dec 2025 06:41:55.990   5709.973641493442           3666.412548562834           525.4259713002981           -3.679859706953025           5.110924514589836            4.341246892912712            
16 Dec 2025 06:42:05.990   5672.814373272569           3717.288623875443           568.8041607670763           -3.751915379189767           5.064183295877186            4.334299223764858            
16 Dec 2025 06:42:15.990   5634.936920183833           3767.69407934253            612.1101217668009           -3.823495171183093           5.016801538477263            4.326801354285698            
16 Dec 2025 06:42:25.990   5596.346086208751           3817.62253949995            655.3383570549515           -3.894590057272294           4.968785240207266            4.318754247757402            
16 Dec 2025 06:42:35.990   5557.046765278909           3867.067689258599           698.4833793653113           -3.965191073291195           4.920140478129806            4.310158936535518            
16 Dec 2025 06:42:45.990   5517.043940655438           3916.023274692999           741.5397120999967           -4.035289317680234           4.870873407777569            4.301016521906733            
16 Dec 2025 06:42:55.990   5476.342684297436           3964.483103822085           784.5018900180214           -4.104875952590049           4.820990262368412            4.29132817393798             
16 Dec 2025 06:43:05.990   5434.94815621937            4012.441047382086           827.3644599223092           -4.173942204976443           4.770497352011001            4.281095131316896            
16 Dec 2025 06:43:15.990   5392.865603837601           4059.891039591433           870.1219813450657           -4.242479367686538           4.719401062901145            4.270318701183603            
16 Dec 2025 06:43:25.990   5350.100361306067           4106.827078907562           912.7690272314279           -4.310478800536096           4.667707856508888            4.259000258953997            
16 Dec 2025 06:43:35.990   5306.657848841249           4153.243228775564           955.3001846213015           -4.377931931377742           4.615424268756549            4.247141248134423            
16 Dec 2025 06:43:45.990   5262.543572036504           4199.133618368553           997.7100553293045           -4.444830257160053           4.562556909187794            4.234743180127864            
16 Dec 2025 06:43:55.990   5217.763121165844           4244.492443319692           1039.993256622728           -4.511165344977332           4.509112460127865            4.221807634031664            
16 Dec 2025 06:44:05.990   5172.322170477266           4289.31396644577            1082.144421897435           -4.576928833109981           4.455097675835109            4.20833625642682             
16 Dec 2025 06:44:15.990   5126.22647747574            4333.592518462263           1124.158201351606           -4.642112432055272           4.400519381643935            4.19433076115885             
16 Dec 2025 06:44:25.990   5079.481882195918           4377.322498689767           1166.029262657255           -4.706707925548517           4.345384473099304            4.179792929110371            
16 Dec 2025 06:44:35.990   5032.094306464689           4420.498375751738           1207.752291629429           -4.770707171574402           4.289699915082901            4.164724607965347            
16 Dec 2025 06:44:45.990   4984.069753153673           4463.114688263467           1249.32199289301            -4.834102103368411           4.233472740931122            4.149127711965074            
16 Dec 2025 06:44:55.990   4935.414305421747           4505.166045512173           1290.733090547029           -4.896884730408227           4.176710051544985            4.13300422165596             
16 Dec 2025 06:45:05.990   4886.134125947707           4546.64712812817            1331.980328826428           -4.959047139395008           4.119419014492122            4.116356183629162            
16 Dec 2025 06:45:15.990   4836.235456153168           4587.552688747015           1373.058472761167           -5.02058149522434            4.061606863100965            4.09918571025204             
16 Dec 2025 06:45:25.990   4785.724615415811           4627.877552662545           1413.962308832612           -5.08148004194691            4.003280895547274            4.08149497939163             
16 Dec 2025 06:45:35.990   4734.608000273071           4667.61661847076            1454.686645627116           -5.141735103718653           3.944448473933119            4.063286234130054            
16 Dec 2025 06:45:45.990   4682.892083616378           4706.764858704444           1495.226314486712           -5.201339085740322           3.885117023358481            4.044561782471971            
16 Dec 2025 06:45:55.990   4630.583413876057           4745.317320458478           1535.576170156843           -5.260284475186379           3.825294030985579            4.025323997044123            
16 Dec 2025 06:46:05.990   4577.688614196991           4783.269126005748           1575.731091431052           -5.318563842123109           3.764987045096077            4.005575314787031            
16 Dec 2025 06:46:15.990   4524.214381605152           4820.615473403602           1615.685981792539           -5.376169840415799           3.7042036741413              3.985318236638852            
16 Dec 2025 06:46:25.990   4470.167486165129           4857.351637090765           1655.435770052528           -5.43309520862498            3.642951585785595            3.964555327211527            
16 Dec 2025 06:46:35.990   4415.554770128734           4893.47296847466            1694.975410985353           -5.489332770891587           3.58123850594297             3.94328921445924             
16 Dec 2025 06:46:45.990   4360.383147074826           4928.974896509058           1734.299885960191           -5.544875437810919           3.519072217807159            3.921522589339221            
16 Dec 2025 06:46:55.990   4304.65960104043            4963.852928262002           1773.404203569367           -5.59971620729535            3.456460560875246            3.899258205464985            
16 Dec 2025 06:47:05.990   4248.391185643322           4998.102649473932           1812.283400253147           -5.653848165425694           3.393411429964981            3.876498878752067            
16 Dec 2025 06:47:15.990   4191.585023196116           5031.719725105947           1850.932540920958           -5.707264487291086           3.329932774225949            3.853247487056272            
16 Dec 2025 06:47:25.990   4134.248303812037           5064.699899878163           1889.346719568953           -5.75995843781739            3.266032596144692            3.829506969804565            
