DefaultSC.UTCGregorian     DefaultSC.Earth.Altitude   DefaultSC.Earth.BetaAngle   DefaultSC.Earth.Latitude   DefaultSC.Earth.Longitude   DefaultSC.Earth.LST       
16 Dec 2025 06:39:55.990   427.6394842314967          6.804379416400058           0.1423117227113275         -158.4575982441339          26.69042273860839         
16 Dec 2025 06:40:05.990   427.675837967744           6.804403290807876           0.5129050215492109         -157.9710710370089          27.21873080124007         
16 Dec 2025 06:40:15.990   427.7119592790787          6.804418821463509           0.8834501988085257         -157.4844887212642          27.74709380485334         
16 Dec 2025 06:40:25.990   427.7478426510534          6.804426128201721           1.253915467892901          -156.9978073379029          28.27555587561756         
16 Dec 2025 06:40:35.990   427.7834820120843          6.804425334923183           1.624268992005703          -156.5109829255267          28.80416114396616         
16 Dec 2025 06:40:45.990   427.8188707452528          6.804416569537572           1.994478911556687          -156.0239715311814          29.33295322571436         
16 Dec 2025 06:40:55.990   427.8540016902398          6.804399963888812           2.364513336658548          -155.5367292002803          29.86197624494972         
16 Dec 2025 06:41:05.990   427.8888671455425          6.80437565369447            2.734340337144684          -155.0492119870029          30.39127431326813         
16 Dec 2025 06:41:15.990   427.9234588714717          6.804343778468336           3.103927944925608          -154.5613759478696          30.92089104073565         
16 Dec 2025 06:41:25.990   427.9577680927141          6.804304481451393           3.473244131925604          -154.0731771431793          31.45087053282893         
16 Dec 2025 06:41:35.990   427.9917855020312          6.804257909540861           3.842256812244893          -153.5845716437951          31.98125688818538         
16 Dec 2025 06:41:45.990   428.0255012639554          6.804204213207757           4.210933832345622          -153.0955155223949          32.51209369698853         
16 Dec 2025 06:41:55.990   428.0589050189074          6.804143546427697           4.579242963634286          -152.6059648650909          33.04342504216118         
16 Dec 2025 06:42:05.990   428.091985887685           6.804076066594194           4.94715189506652           -152.1158757621936          33.57529500056509         
16 Dec 2025 06:42:15.990   428.1247324760634          6.804001934446233           5.31462822251684           -151.6252043190991          34.10774713152821         
16 Dec 2025 06:42:25.990   428.1571328808795          6.803921313978518           5.681639454366904          -151.1339066517665          34.64082565436749         
16 Dec 2025 06:42:35.990   428.1891746942911          6.803834372366216           6.048152984963347          -150.6419388928178          35.17457410165042         
16 Dec 2025 06:42:45.990   428.2208450104881          6.80374127987313            6.414136100050078          -150.149257188643           35.70903649369382         
16 Dec 2025 06:42:55.990   428.2521304317506          6.803642209768644           6.779555966377629          -149.655817704779           36.24425683306444         
16 Dec 2025 06:43:05.990   428.2830170749939          6.803537338243273           7.14437962450298           -149.1615766325501          36.78027859316194         
16 Dec 2025 06:43:15.990   428.3134905787174          6.80342684431274            7.508573981633501          -148.6664901829223          37.31714573019266         
16 Dec 2025 06:43:25.990   428.3435361098382          6.803310909736079           7.872105800493971          -148.1705145987682          37.85490217031915         
16 Dec 2025 06:43:35.990   428.37313837285            6.803189718916337           8.234941708261804          -147.6736061543298          38.39359130216044         
16 Dec 2025 06:43:45.990   428.4022816154129          6.803063458816082           8.597048165744763          -147.1757211604979          38.9332569833953          
16 Dec 2025 06:43:55.990   428.4309496380974          6.802932318856925           8.958391476215549          -146.6768159661918          39.47394303367369         
16 Dec 2025 06:44:05.990   428.4591258025548          6.802796490827886           9.318937774623775          -146.1768469656318          40.01569272256793         
16 Dec 2025 06:44:15.990   428.4867930403925          6.802656168792462           9.678653020794947          -145.6757706075752          40.55854976802746         
16 Dec 2025 06:44:25.990   428.5139338623267          6.802511548985207           10.03750299270617          -145.1735433918449          41.10255783973008         
16 Dec 2025 06:44:35.990   428.540530367025           6.802362829721964           10.39545327506283          -144.6701218839699          41.64776003500802         
16 Dec 2025 06:44:45.990   428.5665642533613          6.802210211293335           10.75246927176346          -144.1654627195246          42.1941998868563          
16 Dec 2025 06:44:55.990   428.5920168267985          6.802053895873196           11.10851617107598          -143.6595226097051          42.74192085264812         
16 Dec 2025 06:45:05.990   428.6168690121531          6.801894087410659           11.46355895808376          -143.1522583465534          43.29096580320277         
16 Dec 2025 06:45:15.990   428.6411013636198          6.801730991536784           11.81756240376472          -142.6436268197878          43.84137801830263         
16 Dec 2025 06:45:25.990   428.6646940756764          6.801564815456044           12.17049105886065          -142.1335850164473          44.39320067714971         
16 Dec 2025 06:45:35.990   428.6876269942559          6.801395767846895           12.52230924787109          -141.6220900343037          44.94647634716193         
16 Dec 2025 06:45:45.990   428.7098796272876          6.801224058761711           12.87298105765196          -141.1090990934063          45.50124797592795         
16 Dec 2025 06:45:55.990   428.731431159903           6.801049899516189           13.22247035369143          -140.5945695474716          46.05755837736933         
16 Dec 2025 06:46:05.990   428.7522604611604          6.800873502593189           13.57074074167823          -140.0784588910828          46.61544972162673         
16 Dec 2025 06:46:15.990   428.7723460996594          6.800695081530056           13.91775558387659          -139.5607247710228          47.17496469765896         
16 Dec 2025 06:46:25.990   428.7916663551114          6.800514850821471           14.26347798845553          -139.0413250071417          47.73614514894305         
16 Dec 2025 06:46:35.990   428.810199230993           6.800333025807092           14.60787080442161          -138.5202175967165          48.29903324677122         
16 Dec 2025 06:46:45.990   428.827922467407           6.800149822568627           14.95089661674421          -137.9973607326711          48.8636709667889          
16 Dec 2025 06:46:55.990   428.8448135529807          6.799965457826679           15.29251773542116          -137.4727128197356          49.43009956805867         
16 Dec 2025 06:47:05.990   428.8608497428677          6.799780148827381           15.63269621597563          -136.9462324925171          49.99836058268005         
16 Dec 2025 06:47:15.990   428.8760080652455          6.799594113243738           15.97139381796054          -136.4178786257115          50.56849530545801         
